,From,To,Distance,NumberofTrucks,NumberofPackages
0,ONode0,TNode0,8.673855999999999,2.0,1050.0649525797955
1,ONode0,TNode1,12.787918,2.0,1050.049808770165
2,ONode1,TNode0,21.436394,2.0,1050.018149202792
3,ONode1,TNode1,36.502778,2.0,1049.9628343488419
4,ONode2,TNode0,23.521558,2.0,1050.010485044774
5,ONode2,TNode1,17.997916,2.0,1050.030747391765
6,ONode3,TNode0,9.735339999999999,2.0,1050.0610492174972
7,ONode3,TNode1,22.463744000000002,2.0,1050.0143758339477
8,ONode0,DNode0,10.834469,2.0,1822.7349738294656
9,ONode0,DNode1,13.091094,3.0,2982.59642595521
10,ONode0,DNode2,23.118243,2.0,1593.450493224606
11,ONode0,DNode3,15.241716,4.0,3265.4178247545206
12,ONode0,DNode4,16.148761,3.0,2618.7502259693624
13,ONode0,DNode5,8.009578999999999,4.0,3413.704071677398
14,ONode0,DNode6,27.60735,2.0,1221.4405205432074
15,ONode1,DNode0,34.549329,2.0,1822.7654042100098
16,ONode1,DNode1,10.623766,3.0,2982.6136079321377
17,ONode1,DNode2,46.833103,2.0,1593.634194739319
18,ONode1,DNode3,38.956576,4.0,3265.449138658108
19,ONode1,DNode4,19.107269,3.0,2618.735123704593
20,ONode1,DNode5,15.705281,4.0,3413.8203447297365
21,ONode1,DNode6,3.89249,2.0,1221.251790924465
22,ONode2,DNode0,25.511757,2.0,1822.652843619442
23,ONode2,DNode1,34.334185999999995,3.0,2982.6343563991945
24,ONode2,DNode2,9.203231,2.0,1593.3758648588887
25,ONode2,DNode3,11.413934,4.0,3265.443647688589
26,ONode2,DNode4,25.850683,3.0,2618.697592371197
27,ONode2,DNode5,29.252671000000003,4.0,3413.891863687989
28,ONode2,DNode6,48.850442,2.0,1221.4823354018492
29,ONode3,DNode0,20.510295000000003,2.0,1822.6804923346692
30,ONode3,DNode1,13.195232,3.0,2982.5960786208743
31,ONode3,DNode2,32.794069,2.0,1593.5600910744993
32,ONode3,DNode3,24.917542,4.0,3265.3706287272353
33,ONode3,DNode4,5.068235,3.0,2618.662408673771
34,ONode3,DNode5,15.213187,4.0,3413.8221277943803
35,ONode3,DNode6,17.931524,2.0,1221.3406766825358
36,TNode0,DNode0,13.112935,2.0,1301.9246088345565
37,TNode0,DNode1,10.812628,3.0,2473.4306650797425
38,TNode0,DNode2,25.396709,2.0,1070.0665242529044
39,TNode0,DNode3,17.520182000000002,3.0,2769.9858116289724
40,TNode0,DNode4,7.474905000000001,3.0,2093.9577771386066
41,TNode0,DNode5,5.731113,3.0,2903.0784709771133
42,TNode0,DNode6,25.328884,1.0,703.2352048451331
43,TNode1,DNode0,7.513841,2.0,1301.9551737083302
44,TNode1,DNode1,25.879012,3.0,2473.5785966303297
45,TNode1,DNode2,10.330325,2.0,1069.9130769850576
46,TNode1,DNode3,6.583982000000001,3.0,2769.8093352235587
47,TNode1,DNode4,17.395509,3.0,2094.1299477378425
48,TNode1,DNode5,20.797497,3.0,2903.2190661526856
49,TNode1,DNode6,40.395268,1.0,703.1527686442247
